0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20 full minutes later we'd received no food while folks who ordered after us were finally getting their food ,and when I asked when we could expect our food to be ready,Upon refunding our money (after waiting 25 mins at that point) the shift manager then grabbed a bag of food ,but the other folks who were waiting patiently for their food,6 of which were plain ol' tacos,,,,,,,,,,,,,,,
 The food here is as dece,hot mess after the club food,,,,,,,,,,,,,,,,,,
2 stars for the food,I asked to have my chicken quesadilla double toasted ,,,,,,,,,,,,,,,,,,
1 crunchy taco,,,,,,,,,,,,,,,,,,,
These guys bust their arses everyday workin shite wage for makin shite burritos give em a break man for fuckers sake eat a frekkin,taco supreme ,,,,,,,,,,,,,,,,,,
or at least get our food in a reasonable,I ordered my food, As I was waiting for my food there was a traffic jam outside where people were trying to reverse out of the drive thru line,I ordered my food per my receipt at 5pm ,There were over 20 receipts on the counter top by the register all spread out where people had got their food ,I have vowed to drive the 4 miles up the street to the other taco bell and get my food there,,,,,,,,,,,,,,
I waited for the two cars in front of me to get their food which took 15 mins,when I got to the window I paid for my food ,"""you can't place food orders at the window",I ordered a $5 taco box that includes TWO tacos ,can you imagine at a taco joint,And then I had to wait another 10 mins for my two tacos ,now I'm even more hungry and I asked to add another taco,and asked for some sour cream, sour cream is fifty,,,,,,,,,,,
I got 2 soft tacos ,The problem came when I ordered a taco salad without sour,but I said no sour cream ,Granted it was a much larger salad than the last,,,,,,,,,,,,,,,,
Love the food ,,,,,,,,,,,,,,,,,,,
Over 45 minutes for a 12 pk of tacos ,,,,,,,,,,,,,,,,,,,
I have to seriously question if the food temperatures met Health Department regulations, If it isn't even warm enough to melt the cheese,,,,,,,,,,,,,,,,,,
I mean the food is just what you'd expect,Reviewing Taco Bell for the food is sort of besides the point,Did the food get out fast,But the food took nine ,Given that it was dinner hour and that some folks were ordering mountains of food,"But it's also not ""fast"" food",and a half minutes for a bean burrito ,,,,,,,,,,,,,
From entering the line to exiting with my food it was 47 minutes,There is NO world in which it should take over 40 minutes to get a couple of tacos,,,,,,,,,,,,,,,,,,
The food has always been decent,and I have never had any problems with food temperature,So I will continue to patronize this TB location when I have a semi-Mexican food craving,,,,,,,,,,,,,,,,,
and the food quality is good,,,,,,,,,,,,,,,,,,,
Which was fine because i didn't mind coming inside to get my food to go,Sometimes i get my food ,and it's super fresh and delicious within a few minutes but most of the time you wait 30 minutes or longer in the drive thru for $5 worth of food ,,,,,,,,,,,,,,,,,
Not sure if you all aren't changing oils or handling food properly,Each item tasted worse then the next,,,,,,,,,,,,,,,,,,
30 minutes we waited for food ,,,,,,,,,,,,,,,,,,,
this taco really cranks my tractor,,,,,,,,,,,,,,,,,,,
10 minutes after that I got my food,,,,,,,,,,,,,,,,,,,
but they've also given me above par food on most other,,,,,,,,,,,,,,,,,,,
number 7 steak with a soft taco,,,,,,,,,,,,,,,,,,,
It smells like food inside,I came here after my latest surgery and ordered some burritos,,,,,,,,,,,,,,,,,,
You can go and sit down and order a steak almost anywhere else ,,,,,,,,,,,,,,,,,,,
) It'll be worth it to get better quality food in a more efficient,I frequently order the shredded chicken burrito (along with many,other things) and the burritos I receive have half the filling I get from other,2 times in the last month I've received burritos with just shredded chicken in them,rice,The SCB is also supposed to include chicken,cheese,and a teeny TINY bit of cheese,,,,,,,,,,,,
 40 mins later I was just getting my food,,,,,,,,,,,,,,,,,,,
Seven people got there food before me,The loaded manager got a bunch of free food ,,,,,,,,,,,,,,,,,,
The last three times I ate here I couldnt finish all my food it tasted so bad,The service is lightning fast but maybe they should start taking a little more time in preparing the food,,,,,,,,,,,,,,,,,,
 Two big boxes and s 10 pack of tacos,,,,,,,,,,,,,,,,,,,
Just on a whim after a meeting in downtown I stopped at this and Taco Bell right off the freeway was in the mood for a Crunchwrap so I got the Crunchwrap and a taco ,and while I was eating the taco I noticed the show tasted just a little,bit out of date a little bit stale and I got that strange does Taco Bell is always so busy so when I bit into the Crunchwrap I was even more shocked to taste and extremely rancid stale tortilla shell but since I went through the drive-thru and went back on the freeway I couldn't turn around go back and exchange it and what would they exchange it was from the same pile of the taco shells I was very disappointed,,,,,,,,,,,,,,,,,
 The food is always hot,,,,,,,,,,,,,,,,,,,
so you expect the food to be average,It's taco Bell,,,,,,,,,,,,,,,,,,
Horrible food,,,,,,,,,,,,,,,,,,,
I drove to the window and she was being being rude and said call 1800- taco ,,,,,,,,,,,,,,,,,,,
My review used to be 2 stars but then I received this today with some equally skimpy potato soft tacos,,,,,,,,,,,,,,,,,,,
I ordered a bean burrito for myself ,How do you mess up a bean burrito,and as I took a bite it tasted rotten,,,,,,,,,,,,,,,,,
Its a taco bell so it doesnt matter about the food,is how it takes no less then 15 minutes to get your food,This is slow food,Wasting my time for a damn cheap taco food,I have been in there to order a single taco,literally one standard taco,although the quality is,It always tastes the same,,,,,,,,,,,,
When I finally got my food,,,,,,,,,,,,,,,,,,,
The staff is usually pretty nice and they usually get the food right at least,,,,,,,,,,,,,,,,,,,
2 there has never been a time where they actually got my order correct and gave me all the food I ordered,and they do not listen to your order or double check the food in the bag is all there,,,,,,,,,,,,,,,,,,
I didn't even eat my food I was so disguste,,,,,,,,,,,,,,,,,,,
00 ever spent now to the food,Last but not least The 6 pc Naked Chicken was nice and warm with a side of cheese sauce on that thang they were good,The Burrito was massive soft filled with Beef yummy and the lettuce was cold,,,,,,,,,,,,,,,,,
got the food 45 minutes later,Ordered 3 crunchy tacos ,,,,,,,,,,,,,,,,,,
mind you we got charged meal price ,Apparently all taco bells do not have anything but beef chicken ,and cheese in the Orl,and they didn't give us a few meal due to the lack of ingredients,,,,,,,,,,,,,,,,
The employees appear to actually like their job and it shows in the food ,,,,,,,,,,,,,,,,,,,
I'm actually impressed with the quality of the food it looked just like the commercial,Food came out super quick and was the best quality I've ever seen,,,,,,,,,,,,,,,,,,
"Their ""burrito supreme",""" is not a supreme burrito",It's about the size of one of their dollar menu burritos,Del Taco has EPIC burritos,A Chipotle burrito platter is also MUCH larger than this,which are MMMUCH BIGGER and BETTER for the same price,,,,,,,,,,,,,,
After another 10 minutes they finally got off their behinds to give me my single breakfast burrito ,,,,,,,,,,,,,,,,,,,
the quality of the food is lacking ,The food is always consistent,the quality is great,,,,,,,,,,,,,,,,,
Try the vegetarian power bowl,( Also comes with chicken or steak if you like) Saborito,,,,,,,,,,,,,,,,,,
makes the food,,,,,,,,,,,,,,,,,,,
We drove through at around 1030 am and the staff was quick accurate and the food hot,We asked for extra cheese on the nachos ,,,,,,,,,,,,,,,,,,
The food is consistent,So what if you asked for cheese instead of cheese,,,,,,,,,,,,,,,,,,
 You don't even see any beans on one of them, I prefer quality ,,,,,,,,,,,,,,,,,,
Today I went and ordered a taco salad ,I got a total of 3 jalapenos on the nachos and 4 on the salad,,,,,,,,,,,,,,,,,,
The boys ordered their usual Beefy 5 layered burrito,I ordered a Steak power bowl sans the rice ,and beans,guacamole,lettuce and cheese,sour cream,,,,,,,,,,,,,,
Soft shell stuffed with cheese and overflowing with meat,lettuce and cheese,,,,,,,,,,,,,,,,,,
 Ordered 3 tacos ,,,,,,,,,,,,,,,,,,,
food,They gave food to 2 other,The taco shell was old,The taco was dry,quality,,,,,,,,,,,,,,,
Order stuff without meat ,but some of the order came with meat,,,,,,,,,,,,,,,,,,
by the time you get your food you don't even want it anymor,,,,,,,,,,,,,,,,,,,
 accurate orders and for the most part have fresh food,,,,,,,,,,,,,,,,,,,
 I ordered $25 worth of food , Then I come back and the manager tells me I didn't order that much food,,,,,,,,,,,,,,,,,,
I wrote review after eating the food at my nearby,hotel and again I could not find any fault with food presentation/quality,in fact probably that best tostada I've ever seen / tasted,,,,,,,,,,,,,,,,,
I could not fit my work truck through the drive-through and Lead carry-out attendant would not open the door to let me pay for the food kept telling me to walk around the entire,,,,,,,,,,,,,,,,,,,
I wasn't going to write a review had they answered the phone but being that they are to busy giving people the wrong food so they can't answer I decided to rant my frustrations here,,,,,,,,,,,,,,,,,,,
I was charged more than the price listed on the drive-thru,,,,,,,,,,,,,,,,,,,
Wow I think it's amazing how you going to a place they miss your order up pretty bad get shitty ass service and everything like that then you called and complained and they send you a coupon for 3 dollars really after you spend 10 on tacos they're going to give you 3 dollar,,,,,,,,,,,,,,,,,,,
It took over 45 minutes for food ,,,,,,,,,,,,,,,,,,,
 Waited over 40 minutes for food as workers moved at a glacial,I almost celebrated a birthday waiting for some stankass food that tasted like dog excrement,,,,,,,,,,,,,,,,,,
if you like Taco Bell food,and almost always mess up food prep,they'll give you messed up tacos,,,,,,,,,,,,,,,,,
If you sell the beef and I want beef instead of chicken why won't you just not put chicken ,,,,,,,,,,,,,,,,,,,
Some friends and I ordered some food on the wall kiosks in this Taco Bell ,and began to wait for our food,However it soon became apparent that 20 minutes had passed since we ordered our food,People who arrived after us were receiving their food ,At this point it took them another ten minutes to even begin the food that was ordered over a half,What truly left a bitter taste in my mouth was the employees reaction to our situation,,,,,,,,,,,,,,
 Dylan and Josh made me fresh rice chalupas ,,,,,,,,,,,,,,,,,,,
the food is cold,,,,,,,,,,,,,,,,,,,
 The food was good,,,,,,,,,,,,,,,,,,,
It's alwaaaaays packed even at 2am still packed and when it's packed it means your food is made sloppy,,,,,,,,,,,,,,,,,,,
great to have 22 sauces with no food to put it on,Dear tacobell,Also What kind of tacobell is out of tacos,,,,,,,,,,,,,,,,,
The food takes forever to come out,,,,,,,,,,,,,,,,,,,
I was ordering a bowl,When I got to window I was told there was no lettuce,,,,,,,,,,,,,,,,,,
they might spit in your food,"""ok dont spit in my food or anything like that ok"" ",I ordered a simple $10 value meal and they were out of the fritos but had the meat,so I just politely asked could they then substitute sour cream for the fritos instead,,,,,,,,,,,,,,,,
Employees not listening to the manager to make my food ,30 minutes to make two  bean burritos,,,,,,,,,,,,,,,,,,
5 layer burrito has 2 layers of tortilla,No beans,a layer of cheese ,,,,,,,,,,,,,,,,,
So he came home grabbed the food ,and drove back for the THIRD time and went to return the food,A bug in the food is gross,accident or not and I am not eating food with a bug in it,the food ,We wasted money on disgusting food that we didn't eat,It's not like we were trying to make a buck and get free food,We were returning the food ,food quality ,It's just obvious they don't care about quality st,,,,,,,,,,
 I should've walked to Pollo Tropical instead of wasting 20-25 minutes to get a simple burrito ,,,,,,,,,,,,,,,,,,,
Went through the drive through and the food was fresh,,,,,,,,,,,,,,,,,,,
The love affair started back in college when all I could afford was the bean burrito,,,,,,,,,,,,,,,,,,,
They can't even make a small chicken quesad,,,,,,,,,,,,,,,,,,,
I ordered the #2 and three soft tacos from the drive thru just to get five mins down the road ,,,,,,,,,,,,,,,,,,,
 My food was prepared,,,,,,,,,,,,,,,,,,,
We had to wait an extra twenty minutes to get our food ,,,,,,,,,,,,,,,,,,,
received their food ,,,,,,,,,,,,,,,,,,,
 I'm so tired of ordering something and getting an ¢85 bean burrito,,,,,,,,,,,,,,,,,,,
No beef on the taco supreme ,I'm allergic to certain things so I ask for no beans on my nachos ,and beef on the nachos along with beans,and no meat on it as well due,,,,,,,,,,,,,,,,
15 minutes later only 3 cars had gotten food,How hard is it to fry some food,Be prepared to spend more time waiting for food than you do in a real,make a taco,,,,,,,,,,,,,,,,
This location rocks and is the best place to get free food,but I keep coming back for the free food,,,,,,,,,,,,,,,,,,
I would give it one star but the food we did receive was not bad,,,,,,,,,,,,,,,,,,,
Really upsetting seeing as we waited sooooo long to get this food before the long,When we finally got our tacos ,,,,,,,,,,,,,,,,,,
Waiting on 3 tacos took over 10 minutes,,,,,,,,,,,,,,,,,,,
The quality of the food was fine,,,,,,,,,,,,,,,,,,,
Last night I wasted 20+ minutes of my time waiting in line and over $20 on no meat but beans in my tacos because the man taking my order did not underst,,,,,,,,,,,,,,,,,,,
  The food was the same,as every other Taco Bell but the service is so slow you could go to a full service restaurant and get your food faster,  Total time from getting in line and driving away with my food 30 minutes ,,,,,,,,,,,,,,,,,
My steak quesadilla came with absolutely no steak in it also asked for extra,,,,,,,,,,,,,,,,,,,
They handed my food to me before I even sat down,The food was super,,,,,,,,,,,,,,,,,,
and if I have to tell you about the food,So this post isn't about the food,because it's the same taste and fast food quality that you can get at any Taco Bell location across this great,,,,,,,,,,,,,,,,,
We had to wait 15 minutes to get 10 tacos,,,,,,,,,,,,,,,,,,,
Both food items I ordered came with the items I asked for to be left off ,I work in the food industry too ,,,,,,,,,,,,,,,,,,
we got home and my vegan wrap was full of cheese so I just could not eat any of the taco bell food,he has food poisoning ,and is very very sick from this food,a chunch wrap beans instead of meat and no sour cream and a taco beans instead of meat,I am vegan so I ordered a crunchwrap supreme and subbed beans for the meat ,,,,,,,,,,,,,,,
"don't worry about it I'll make your food""",,,,,,,,,,,,,,,,,,,
The shredded chicken tacos were awesome,,,,,,,,,,,,,,,,,,,
so I had only low expectations when I agreed to take my family on the way home from delivering food to the gr,most importantly a beef to chicken substitution,,,,,,,,,,,,,,,,,,
 Our food came out very fast ,,,,,,,,,,,,,,,,,,,
I put it as 4 stars because they got rid of my favorite burrito (gri,lled cheese burrito),,,,,,,,,,,,,,,,,,
I'm glad I can help pay for the new remodel by purchasing meatless tacos,loads of lettuce and cheese with NO meat,,,,,,,,,,,,,,,,,,
they need to hire more competent and motivated people who can provide quality of customer servic,,,,,,,,,,,,,,,,,,,
I do not go to Taco Bell for quality food,received my food pretty quickly,I was at the light and opened my box to check my food,I killed the bug and took it back along with the food ,I've had food from a few,,,,,,,,,,,,,,,
This is the second time I've been here & had to wait FOREVER for food in the drive thru,,,,,,,,,,,,,,,,,,,
I pulled up in the drive thru and I've literally been sitting here for 30 minutes all to get to the window and he tells me they don't have anything to eat except crunchy tacos,I don't even eat meat I was just gonna get cheese,,,,,,,,,,,,,,,,,,
The dining area is usually dirty with food crumbs on all the tables ,,,,,,,,,,,,,,,,,,,
once I've waited 30 before just leaving without food,There's a KFC in both directions along the highway and a taco Bell 10 mins away,,,,,,,,,,,,,,,,,,
the food is always fresh,,,,,,,,,,,,,,,,,,,
It really sucks that it's good food in a pinch,I picked up the food on the way out of town the closing manager literally laughed at me on the phone,A shredded chicken burrito with extra,I'm pretty sure they moved the quesarito recipe with a shredded chicken burrito recipe,,,,,,,,,,,,,,,,
It took 30 minutes for 3 plain tacos,They were maybe understaffed but watching them take about a minute to wrap the damn taco was making me mad,,,,,,,,,,,,,,,,,,
Paid extra to substitute beef with chicken,,,,,,,,,,,,,,,,,,,
cheesey bean and rice burrito for 1$ can't be beat ( al,,,,,,,,,,,,,,,,,,,
and the bowl is almost the same price as Chipotle,,,,,,,,,,,,,,,,,,,
Sometimes staff forgets edited items from menu and give you default order from menu so you paid extra for chicken Crunchwrap ,,,,,,,,,,,,,,,,,,,
although everytime we order tacos we rarely get any cheese,The tacos would be alot better with more chees,,,,,,,,,,,,,,,,,,
If you love their food,,,,,,,,,,,,,,,,,,,
Also want to add I waited 15 min for two burritos and this lady who was there before me was there waiting so long her and her daughter both asked a few times about their meal and got told to wait and they ended up just leaving without food or a refun,,,,,,,,,,,,,,,,,,,
I once waited 10 minutes for a single taco,,,,,,,,,,,,,,,,,,,
It's a taco bell so you don't expect the quality of food to be great,some food item,It usually doesn't matter much to me because all the food at taco bell is the same, quality to me (i,,,,,,,,,,,,,,,,
I headed home and ate my food,The food was fire ,I feared that it wouldn't be warm but it was toasty and delicious ,,,,,,,,,,,,,,,,,
They filled the entire bag half way with just sauce packets and left out half our food order,,,,,,,,,,,,,,,,,,,
Oh and the tacos were beyond sloppy,I ordered a chicken chalupa with nacho,cheese,,,,,,,,,,,,,,,,,
Gave me my food took my credit card h,,,,,,,,,,,,,,,,,,,
The food was fresh,,,,,,,,,,,,,,,,,,,
the staff flirted with me and the food was POORLY made,,,,,,,,,,,,,,,,,,,
and the food always tastes like it was just made,,,,,,,,,,,,,,,,,,,
I went there around 11:00 and received my food only a few,The burritos were delicious, and the tacos were alright,,,,,,,,,,,,,,,,,
We went through the drive-through after leaving universal and barely waited for our food ,,,,,,,,,,,,,,,,,,,
but like damn how hard is it to make a supreme taco actually supreme,not a horrible establishment but it's irritating going 4 different times and paying for supreme tacos ,,,,,,,,,,,,,,,,,,
 It is a slow food Establishment,,,,,,,,,,,,,,,,,,,
There are at least 8 high school kids that haven't gotten food ,,,,,,,,,,,,,,,,,,,
30 minutes for crappie tacos aka Mexican food,,,,,,,,,,,,,,,,,,,
I am a tacobell fiend,I went to four other tacobell locations in the area trying to find good,tacobell,primarily adding meat to vegetarian,I usually place a mobile order for drive thru pickup and asked a few times in the past if they would seperate the vegetarian items & meat items (for the other,,,,,,,,,,,,,,,
still took forever to give me my food,,,,,,,,,,,,,,,,,,,
It took over 45 minutes for food ,,,,,,,,,,,,,,,,,,,
I know it's not authentic Mexican but some food is good,food served hot,The menu looks big but most are usually the same food ,,,,,,,,,,,,,,,,,
Sure as hell isn't making food ,It's tacos and burritos,cheese and beans in it ,throw some meat,,,,,,,,,,,,,,,,
I usually get the chalupa and the bean burrito then i come on myself because that's what chalupas do to me,,,,,,,,,,,,,,,,,,,
the food was pretty much,Drove through as required with the pandemic and ordered a chicken power bowl ,,,,,,,,,,,,,,,,,,
